,character,dialogue,episode,season,total_words_spoken
1043,jaime,you have my word,5,8,4
1044,tyrion,if it works give the order to ring all the bells in king's landing and open the gates that will be our signal that the city has surrendered,5,8,28
1045,jaime,i'll try,5,8,2
1046,tyrion,i never thought i'd get to repay the favor remember ring the bells and open the gates,5,8,17
1047,jaime,your queen will execute you for this,5,8,7
1048,tyrion,if daenerys can make it to the throne without wading through a river of blood maybe she'll show mercy to the person who made that possible,5,8,26
1049,tyrion,tens of thousands of innocent lives one not particularly innocent dwarf it seems like a fair trade if it weren't for you i never wouldo ve survived my childhood,5,8,29
1050,jaime,you would have,5,8,3
1051,tyrion,you were the only one who didn't treat me like a monster you were all i had,5,8,17
1052,soldier,eyes on the horizon,5,8,4
1053,soldier,load the scorpion,5,8,3
1054,soldier,archers close up,5,8,3
1055,man,come on,5,8,2
1056,soldier,up to the espringal,5,8,4
1057,soldier,to the back of it,5,8,5
1058,soldier,archers line up,5,8,3
1059,woman,this way come on,5,8,4
1060,soldier,clear the streets now,5,8,4
1061,woman,no,5,8,1
1062,man,in now and you come on,5,8,6
1063,soldier,inside now,5,8,2
1064,man,quickly,5,8,1
1065,soldier,yes follow down there they're here get to the red keep,5,8,11
1066,father,my son,5,8,2
1067,soldier,get inside,5,8,2
1068,man,just ahead of you i can see it,5,8,8
1069,soldier,all right move it,5,8,4
1070,woman,come on,5,8,2
1071,soldier,keep moving,5,8,2
1072,soldier,keep going,5,8,2
1073,soldier,quickly,5,8,1
1074,soldier,all the way,5,8,3
1075,father,hold your mother's hand,5,8,4
1076,soldier,make way for the golden company,5,8,6
1077,soldier,close the gate,5,8,3
1078,tyrion,if you hear the bells ring they've surrendered call off your men,5,8,12
1079,soldier,move along now lads,5,8,4
1080,soldier,that's it,5,8,2
1081,soldier,go on move it,5,8,4
1082,soldier,come on move move faster faster come on move it keep going,5,8,12
1083,soldier,keep moving,5,8,2
1084,sandor clegane,move,5,8,1
1085,soldier,stay with him,5,8,3
1086,man,hold on,5,8,2
1087,woman,hold my hand,5,8,3
1088,nora,get behind there,5,8,3
1089,soldier,close the gate no more through,5,8,6
1090,nora,no,5,8,1
1091,vicky,no mommy,5,8,2
1092,nora,vicky please,5,8,2
1093,vicky,no please sir,5,8,3
1094,man,open the gate,5,8,3
1095,man,open it,5,8,2
1096,soldier,get back,5,8,2
1097,nora,look try that one go go,5,8,6
1098,soldier,the gates are locked now,5,8,5
1099,woman,open,5,8,1
1100,woman,open the gate soldier soldier,5,8,5
1101,man,please open the gate,5,8,4
1102,soldier,go back to your homes,5,8,5
1103,soldier,stay back it's closed,5,8,4
1104,jaime,soldier,5,8,1
1105,soldier,move away stop,5,8,3
1106,man,let us in,5,8,3
1107,man,we're not leaving,5,8,3
1108,soldier,turn,5,8,1
1109,euron,turn it around turn it around,5,8,6
1110,euron,get back back,5,8,3
1111,euron,fire,5,8,1
1112,soldier,i can see her ready,5,8,5
1113,soldier,move,5,8,1
1114,soldier,fire,5,8,1
1115,soldier,reload,5,8,1
1116,soldier,faster hurry,5,8,2
1117,man,go,5,8,1
1118,man,run,5,8,1
1119,qyburn,your grace,5,8,2
1120,cersei,all we need is one good shot,5,8,7
1121,qyburn,the scorpions have all been destroyed your grace,5,8,8
1122,cersei,the iron fleet hold blackwater bay euron killed one of her dragons he can kill another,5,8,16
1123,qyburn,your grace the iron fleet is burning the gates have been breached the golden company-,5,8,15
1124,cersei,our men will fight harder than sellswords ever could they will defend their queen to the last man,5,8,18
1125,qyburn,yes your grace,5,8,3
1126,cersei,the red keep has never fallen it won't fall today,5,8,10
1127,man,no no no,5,8,3
1128,jon,move move,5,8,2
1129,man,run run come on,5,8,4
1130,soldier,ring the bells,5,8,3
1131,man,the bells,5,8,2
1132,man,ring the bells,5,8,3
1133,woman,ring the bells,5,8,3
1134,man,ring the bloody bells,5,8,4
1135,woman,tell the queen to ring the bells,5,8,7
1136,man,ring the bells ring the bell,5,8,6
1137,woman,this way,5,8,2
1138,soldier,ring the bell,5,8,3
1139,man,ring the bell,5,8,3
1140,man,ring them,5,8,2
1141,man,help us,5,8,2
1142,man,in the name of the-,5,8,5
1143,man,queen we're surrounded,5,8,3
1144,man,now come on,5,8,3
1145,man,hurry up,5,8,2
1146,jon,no get back get back,5,8,5
1147,jon,stay stay,5,8,2
1148,davos,quickly quickly,5,8,2
1149,jon,stop,5,8,1
1150,soldier,get off me get off bitch,5,8,6
1151,woman,no get off help help no,5,8,6
1152,soldier,go go,5,8,2
1153,jon,find somewhere to hide,5,8,4
1154,man,my god,5,8,2
1155,euron,the kingslayer,5,8,2
1156,jaime,we need to get the queen out of king's landing,5,8,10
1157,euron,listen that's the sound of a city dying it's over,5,8,10
1158,jaime,well maybe for you,5,8,4
1159,euron,if you kill another king before you die they'll sing about you forever,5,8,13
1160,jaime,you're no king,5,8,3
1161,euron,oh but i am and i fucked the queen if i win i'll bring your head to cersei so you can kiss her one last time,5,8,26
1162,qyburn,your grace it isn't safe here any longer,5,8,8
1163,cersei,the red keep is the safest place in the city,5,8,10
1164,qyburn,the unsullied have breached the gates of the red keep,5,8,10
1165,qyburn,maegor's holdfast would be a better place to wait out the storm,5,8,12
1166,euron,you fought well for a cripple,5,8,6
1167,euron,another king for you,5,8,4
1168,euron,but i got you,5,8,4
1169,euron,i got you,5,8,3
1170,euron,i'm the man who killed jaime lannister,5,8,7
1171,sandor clegane,go home girl the fire will get her or one of the dothraki,5,8,13
1172,sandor clegane,or maybe that dragon will eat her it doesn't matter she's dead and you'll be dead too if you don't get out of here,5,8,24
1173,arya,i'm going to kill her,5,8,5
1174,sandor clegane,you think you wanted revenge a long time i've been after it all my life,5,8,15
1175,sandor clegane,it's all i care about and look at me,5,8,9
1176,sandor clegane,look at me you wanna be like me,5,8,8
1177,sandor clegane,you come with me you die here,5,8,7
1178,arya,sandor,5,8,1
1179,arya,thank you,5,8,2
1180,sandor clegane,your grace,5,8,2
1181,sandor clegane,hello big brother,5,8,3
1182,cersei,ser gregor stay by my side,5,8,6
1183,cersei,ser gregor i command you,5,8,5
1184,qyburn,obey your queen ser gregor,5,8,5
1185,sandor clegane,yeah that's you that's what you've always been,5,8,8
1186,cersei,you're hurt,5,8,2
1187,jaime,it doesn't matter,5,8,3
1188,cersei,you're bleeding,5,8,2
1189,owen,alanna alanna have you seen my wife have you seen my wife,5,8,12
1190,arya,let go,5,8,2
1191,owen,have you seen my wife,5,8,5
1192,man,out of the way,5,8,4
1193,man,no,5,8,1
1194,sandor clegane,oh,5,8,1
1195,nora,take my hand take my hand get up get up,5,8,10
1196,nora,no no,5,8,2
1197,arya,wait wait no,5,8,3
1198,sandor clegane,fucking die,5,8,2
1199,jon,we need to fall back fall back behind the wall fall back,5,8,12
1200,soldier,fall back,5,8,2
1201,jon,get out of the city fall back fall back fall back,5,8,11
1202,arya,you can't stay here you have to keep moving,5,8,9
1203,woman,we can't go out there,5,8,5
1204,arya,you have to,5,8,3
1205,woman,everyone out there is dead,5,8,5
1206,arya,if you stay here you'll die follow me,5,8,8
1207,arya,follow me,5,8,2
1208,man,come on quickly all of you,5,8,6
1209,vicky,mama mama mama,5,8,3
1210,vicky,no mama mama mama,5,8,4
1211,arya,get up get up,5,8,4
1212,arya,we have to keep moving,5,8,5
1213,nora,take her take her,5,8,4
1214,nora,take her,5,8,2
1215,arya,come on come on,5,8,4
1216,jaime,this way,5,8,2
1217,cersei,i want our baby to live i want our baby to live i want our baby to live,5,8,18
1218,cersei,don't let me die jaime please don't let me die,5,8,10
1219,jaime,it's all right,5,8,3
1220,cersei,please don't let me die,5,8,5
1221,cersei,i don't want to die,5,8,5
1222,jaime,just look- look at me look at me,5,8,8
1223,cersei,not like this not like this not like this,5,8,9
1224,jaime,look- look- look me in the eye don't look away don't look- look at me just look at me,5,8,19
1225,jaime,nothing else matters nothing else matters only us,5,8,8
1226,tyrion,i'll find you later,6,8,4
1227,jon,it's not safe let me send some men with you,6,8,10
1228,tyrion,i'm going alone,6,8,3
1229,grey worm,in the name of the one true queen daenerys targaryen i sentence you to die,6,8,15
1230,jon,grey worm,6,8,2
1231,jon,it's over,6,8,2
1232,grey worm,these men are prisoners it is not over until the queen's enemies are defeated,6,8,14
1233,davos,how much more defeated do you want them to be they're on their knees,6,8,14
1234,grey worm,they are breathing,6,8,3
1235,davos,look around you friend we won,6,8,6
1236,grey worm,i obey my queen's commands not yours,6,8,7
1237,jon,and what are the queen's commands,6,8,6
1238,grey worm,"kill all who follow cersei lannister"" these are free men they chose to fight for her",6,8,16
1239,davos,easy men easy easy,6,8,4
1240,davos,jon we should speak with the queen,6,8,7
1241,daenerys,blood of my blood,6,8,4
1242,daenerys,you kept all your promises to me you killed my enemies in their iron suits,6,8,15
1243,daenerys,your tore down their stone houses you gave me the seven kingdoms,6,8,12
1244,daenerys,torgo nudho,6,8,2
1245,daenerys,you have walked beside me since the plaza of pride you are the bravest of men the most loyal of soldiers i name you commander of all my forces the queen's master of war,6,8,34
1246,daenerys,unsullied all of you were torn from your mother's arms and raised as slaves now you are liberators you have freed the people of king's landing from the grip of a tyrant,6,8,32
1247,daenerys,but the war is not over we will not lay down our spears until we have liberated all the people of the world,6,8,23
1248,daenerys,from winterfell to dorne from lannisport to qarth from the summer isles to the jade sea women men and children have suffered too long beneath the wheel,6,8,27
1249,daenerys,will you break the wheel with me,6,8,7
1250,daenerys,you freed your brother you committed treason,6,8,7
1251,tyrion,i freed my brother and you slaughtered a city,6,8,9
1252,daenerys,take him,6,8,2
1253,jon,what are you doing here,6,8,5
1254,jon,hey what happened,6,8,3
1255,arya,i came to kill cersei your queen got there first,6,8,10
1256,jon,she's everyone's queen now,6,8,4
1257,arya,try telling sansa,6,8,3
1258,jon,wait for me outside the city gates i'll come find you,6,8,11
1259,arya,jon she knows who you are who you really are you'll always be a threat to her and i know a killer when i see one,6,8,26
1260,tyrion,did you bring any wine,6,8,5
1261,jon,no,6,8,1
1262,tyrion,"ah well thank you for coming to see me our queen doesn't keep prisoners for long i suppose there's a crude kind of justice i betrayed my closest friend and watched him burn now varys's ashes can tell my ashes ""see i told you"" it just occurred to me i'm talking to the only man alive who knows where i'm going",6,8,61
1263,tyrion,so is there life after death,6,8,6
1264,jon,not that i've seen,6,8,4
1265,tyrion,i should be thankful oblivion is the best i could hope for i strangled my lover i shot my own father with a crossbow i betrayed my queen,6,8,28
1266,jon,you didn't,6,8,2
1267,tyrion,i did and i'd do it again now that i've seen what i've seen i chose my fate the people of king's landing did not,6,8,25
1268,jon,i can't justify what happened i won't try but the war is over now,6,8,14
1269,tyrion,is it when you heard her talking to her soldiers did she sound like someone who's done fighting,6,8,18
1270,tyrion,she liberated the people of slaver's bay she liberated the people of king's landing and she'll go on liberating until the people of the world are free and she rules them all,6,8,32
1271,jon,and you've been by her side counseling her until today,6,8,10
1272,tyrion,until today varys was right i was wrong it was vanity to think i could guide her our queen's nature is fire and blood,6,8,24
1273,jon,you think our house words are stamped on our bodies when we're born and that's who we are then i'd be fire and blood too she's not her father no more than you're tywin lannister,6,8,35
1274,tyrion,my father was an evil man my sister was an evil woman pile up all the bodies of all the people they ever killed there still won't be half as many as our beautiful queen slaughtered in a single day,6,8,40
